Model,Channel_Config,N_Channels,Feature_Subset,N_Features,Class_Type,N_Samples,Time_sec,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,precision_cls0_mean,precision_cls0_std,recall_cls0_mean,recall_cls0_std,f1_cls0_mean,f1_cls0_std,support_cls0_mean,support_cls0_std,precision_cls10_mean,precision_cls10_std,recall_cls10_mean,recall_cls10_std,f1_cls10_mean,f1_cls10_std,support_cls10_mean,support_cls10_std,precision_cls40_mean,precision_cls40_std,recall_cls40_mean,recall_cls40_std,f1_cls40_mean,f1_cls40_std,support_cls40_mean,support_cls40_std,confusion_matrix_sum,roc_auc_macro_mean,roc_auc_macro_std
SVM,Cz,1,Delta,5,3class,1184,4.6,0.5820513430195858,0.06618805287217011,0.6696732451424061,0.045578211918019265,1.0,0.0,1.0,0.0,1.0,0.0,32.2,6.099180272790763,0.5093785391040747,0.06765990645598595,0.4358717089976051,0.15309697191760788,0.45894867941937784,0.10013817189960637,99.6,14.621901381147392,0.5250860583181899,0.07633793343373943,0.5924224511121062,0.1627597310158785,0.5500710560078403,0.09831486369043697,105.0,16.911534525287763,"[[161   0   0]
 [  0 220 278]
 [  0 216 309]]",0.7527223618364369,0.055451672197486625
kNN,Cz,1,Delta,5,3class,1184,0.5,0.5712039217496441,0.03725901707176396,0.6673706146826583,0.026706262143545573,1.0,0.0,1.0,0.0,1.0,0.0,32.2,6.099180272790763,0.4893378678754542,0.03988789211863006,0.488051008163864,0.09835474466047496,0.4862121539129719,0.066019662509054,99.6,14.621901381147392,0.5172558451697103,0.04017038577964664,0.5191306911479325,0.0773482904007922,0.5158996901350029,0.04918031327716239,105.0,16.911534525287763,"[[161   0   0]
 [  0 247 251]
 [  0 254 271]]",0.7539938962462118,0.02481646094518396
MLP,Cz,1,Delta,5,3class,1184,0.7,0.5800772525095097,0.06474505918625299,0.6537519881903993,0.05465054208061644,0.9945945945945945,0.012086853932431271,1.0,0.0,0.9972602739726029,0.00612621363698575,32.2,6.099180272790763,0.5181442792501615,0.07398337592761853,0.3783801244066974,0.21464688369868148,0.40166257012179185,0.17263419704268979,99.6,14.621901381147392,0.5183525604698676,0.06707445843159011,0.6444332736229288,0.2359494090162707,0.5623331204768031,0.11810135004989196,105.0,16.911534525287763,"[[161   0   0]
 [  0 199 299]
 [  1 197 327]]",0.745626980632754,0.055944403516897646
RandomForest,Cz,1,Delta,5,3class,1184,5.0,0.5801701389283072,0.03520736033974976,0.6727840050685919,0.026415585947727402,1.0,0.0,1.0,0.0,1.0,0.0,32.2,6.099180272790763,0.5016339299545833,0.041174840050651244,0.4726163862669848,0.09604569086873194,0.482971146630064,0.0674972125688256,99.6,14.621901381147392,0.5237638285765451,0.0360128278183356,0.552650619495447,0.10171830698037217,0.5353808685757115,0.06057259496851986,105.0,16.911534525287763,"[[161   0   0]
 [  0 236 262]
 [  0 235 290]]",0.7486086168207021,0.03380995732371084
NaiveBayes,Cz,1,Delta,5,3class,1184,0.1,0.5679665238990651,0.07014497655526548,0.6587286989914938,0.04810881712812638,1.0,0.0,1.0,0.0,1.0,0.0,32.2,6.099180272790763,0.4938602303383237,0.08028141487800551,0.4260173041272278,0.14251169678406053,0.4465652746304797,0.0940647615725573,99.6,14.621901381147392,0.5069267975271937,0.07586793294809313,0.570371249440215,0.18373667373688507,0.5296208223440019,0.11379117223178564,105.0,16.911534525287763,"[[161   0   0]
 [  0 205 293]
 [  0 222 303]]",0.7460449757045527,0.04362844047458792
BayesNet,Cz,1,Delta,5,3class,1184,0.1,0.5679665238990651,0.07014497655526548,0.6587286989914938,0.04810881712812638,1.0,0.0,1.0,0.0,1.0,0.0,32.2,6.099180272790763,0.4938602303383237,0.08028141487800551,0.4260173041272278,0.14251169678406053,0.4465652746304797,0.0940647615725573,99.6,14.621901381147392,0.5069267975271937,0.07586793294809313,0.570371249440215,0.18373667373688507,0.5296208223440019,0.11379117223178564,105.0,16.911534525287763,"[[161   0   0]
 [  0 205 293]
 [  0 222 303]]",0.7460449757045527,0.04362844047458792
RandomTree,Cz,1,Delta,5,3class,1184,0.1,0.5755439241757389,0.046109591868935845,0.6710051865067281,0.032175555267294376,1.0,0.0,1.0,0.0,1.0,0.0,32.2,6.099180272790763,0.49488794613873405,0.04576962493489628,0.5028826583388993,0.10387577878885013,0.4964314718052106,0.06957757925094211,99.6,14.621901381147392,0.5233499006118862,0.05529850424494418,0.5146783101955515,0.08001562801558798,0.5165840877149739,0.055355578438359344,105.0,16.911534525287763,"[[161   0   0]
 [  0 253 245]
 [  0 256 269]]",0.7253476635822833,0.02417951240765433
LDA,Cz,1,Delta,5,3class,1184,0.1,0.6054581681970646,0.07221669570329102,0.6868848580577962,0.051671525974056415,1.0,0.0,1.0,0.0,1.0,0.0,32.2,6.099180272790763,0.5556999027688683,0.10557488991773022,0.40909727100821386,0.08002079029566056,0.46572273974079986,0.07786100034139876,99.6,14.621901381147392,0.5383607276305412,0.06542708321716925,0.67176802507837,0.1636049204708104,0.5949318344325887,0.10787703542507981,105.0,16.911534525287763,"[[161   0   0]
 [  0 203 295]
 [  0 174 351]]",0.7571174573432091,0.05721763560866252
LogisticRegression,Cz,1,Delta,5,3class,1184,0.2,0.584902046652061,0.07270242450646378,0.6654661127063988,0.05305939840034362,0.9894736842105264,0.023537557657892547,1.0,0.0,0.9945945945945945,0.012086853932431271,32.2,6.099180272790763,0.5299825444261144,0.1190087974891358,0.36384807066509295,0.10116600267227639,0.42117172822730853,0.08977925008683861,99.6,14.621901381147392,0.5194461853857744,0.0644899790218234,0.6693305717271235,0.18647744987134077,0.5806320152972931,0.11366859057412182,105.0,16.911534525287763,"[[161   0   0]
 [  2 179 317]
 [  0 176 349]]",0.7537082051335942,0.048780731190746544
SVM,Cz,1,Delta,5,2class,1023,1.0,0.483555375297467,0.0710945969082159,0.4662388265436747,0.06769377414267326,,,,,,,,,0.4693428184281843,0.0667553443365131,0.4385906674304527,0.19394613982580935,0.43393590358875905,0.1386706429919679,99.6,14.621901381147392,0.4947002676120533,0.0754159422858025,0.5228885654575309,0.19658827765064105,0.49854174949859037,0.10539899746351408,105.0,16.911534525287763,"[[223 275]
 [250 275]]",,
