Accuracy,F1,N,Window_Samples,Window_Sec,Month,Class_Type,N_Features
0.7174845164363983,0.7174839393235086,4198,500,2.0,Mixed,3class,5
0.7174845164363983,0.7174839393235086,4198,500,2.0,Mixed,2class,5
0.7228221742260619,0.7224625432253438,1389,500,2.0,Month1,3class,5
0.7228221742260619,0.7224625432253438,1389,500,2.0,Month1,2class,5
0.8057692307692308,0.8055447794565638,1560,500,2.0,Month3,3class,5
0.8057692307692308,0.8055447794565638,1560,500,2.0,Month3,2class,5
0.7477982385908727,0.7477956518812681,1249,500,2.0,Month6,3class,5
0.7477982385908727,0.7477956518812681,1249,500,2.0,Month6,2class,5
0.704,0.7039965204488934,3500,600,2.4,Mixed,3class,5
0.704,0.7039965204488934,3500,600,2.4,Mixed,2class,5
0.7359792924935289,0.7358563921063921,1159,600,2.4,Month1,3class,5
0.7359792924935289,0.7358563921063921,1159,600,2.4,Month1,2class,5
0.8046153846153846,0.8043486504678568,1300,600,2.4,Month3,3class,5
0.8046153846153846,0.8043486504678568,1300,600,2.4,Month3,2class,5
0.7617675312199808,0.7617655526764556,1041,600,2.4,Month6,3class,5
0.7617675312199808,0.7617655526764556,1041,600,2.4,Month6,2class,5
0.7111560498820357,0.7111496186537767,2967,700,2.8,Mixed,3class,5
0.7111560498820357,0.7111496186537767,2967,700,2.8,Mixed,2class,5
0.7408163265306122,0.7404661016949152,980,700,2.8,Month1,3class,5
0.7408163265306122,0.7404661016949152,980,700,2.8,Month1,2class,5
0.8018181818181818,0.8015288403921088,1100,700,2.8,Month3,3class,5
0.8018181818181818,0.8015288403921088,1100,700,2.8,Month3,2class,5
0.7733934611048479,0.7733830918494584,887,700,2.8,Month6,3class,5
0.7733934611048479,0.7733830918494584,887,700,2.8,Month6,2class,5
0.7065637065637066,0.7065635315892915,2590,800,3.2,Mixed,3class,5
0.7065637065637066,0.7065635315892915,2590,800,3.2,Mixed,2class,5
0.712280701754386,0.7119934930493936,855,800,3.2,Month1,3class,5
0.712280701754386,0.7119934930493936,855,800,3.2,Month1,2class,5
0.8,0.7998297162516724,960,800,3.2,Month3,3class,5
0.8,0.7998297162516724,960,800,3.2,Month3,2class,5
0.7458064516129033,0.7456014503258401,775,800,3.2,Month6,3class,5
0.7458064516129033,0.7456014503258401,775,800,3.2,Month6,2class,5
0.7077388672719412,0.7077191450289442,2313,900,3.6,Mixed,3class,5
0.7077388672719412,0.7077191450289442,2313,900,3.6,Mixed,2class,5
0.7159685863874345,0.7156641300973638,764,900,3.6,Month1,3class,5
0.7159685863874345,0.7156641300973638,764,900,3.6,Month1,2class,5
0.8104651162790698,0.810249350600128,860,900,3.6,Month3,3class,5
0.8104651162790698,0.810249350600128,860,900,3.6,Month3,2class,5
0.706821480406386,0.7068060400761751,689,900,3.6,Month6,3class,5
0.706821480406386,0.7068060400761751,689,900,3.6,Month6,2class,5
0.7049571020019065,0.7049420193080396,2098,1000,4.0,Mixed,3class,5
0.7049571020019065,0.7049420193080396,2098,1000,4.0,Mixed,2class,5
0.7031700288184438,0.7029702147463599,694,1000,4.0,Month1,3class,5
0.7031700288184438,0.7029702147463599,694,1000,4.0,Month1,2class,5
0.7730769230769231,0.7727179190009204,780,1000,4.0,Month3,3class,5
0.7730769230769231,0.7727179190009204,780,1000,4.0,Month3,2class,5
