Month,Model,Params,Pooled_Accuracy,Patient_Accuracy_Mean,Patient_Accuracy_Std,Pooled_Baseline,Patient_Baseline
Mes 3,LogisticRegression,"C=0.01, solver=lbfgs",0.7209090909090909,0.7209090909090909,0.08215083889150804,0.8327272727272728,0.8327272727272728
Mes 3,LogisticRegression,"C=0.01, solver=newton-cholesky",0.7209090909090909,0.7209090909090909,0.08215083889150804,0.8327272727272728,0.8327272727272728
Mes 3,LogisticRegression,"C=0.01, solver=saga",0.7218181818181818,0.7218181818181819,0.08138267933576386,0.8327272727272728,0.8327272727272728
Mes 3,LogisticRegression,"C=0.05, solver=lbfgs",0.7763636363636364,0.7763636363636364,0.05687451752588017,0.8327272727272728,0.8327272727272728
Mes 3,LogisticRegression,"C=0.05, solver=newton-cholesky",0.7763636363636364,0.7763636363636364,0.05687451752588017,0.8327272727272728,0.8327272727272728
Mes 3,LogisticRegression,"C=0.05, solver=saga",0.7763636363636364,0.7763636363636364,0.05687451752588017,0.8327272727272728,0.8327272727272728
Mes 3,LogisticRegression,"C=0.1, solver=lbfgs",0.8009090909090909,0.800909090909091,0.040594751930483806,0.8327272727272728,0.8327272727272728
Mes 3,LogisticRegression,"C=0.1, solver=newton-cholesky",0.8009090909090909,0.800909090909091,0.040594751930483806,0.8327272727272728,0.8327272727272728
Mes 3,LogisticRegression,"C=0.1, solver=saga",0.8009090909090909,0.800909090909091,0.040594751930483806,0.8327272727272728,0.8327272727272728
Mes 3,LogisticRegression,"C=0.5, solver=lbfgs",0.8209090909090909,0.8209090909090909,0.04596081694459832,0.8327272727272728,0.8327272727272728
Mes 3,LogisticRegression,"C=0.5, solver=newton-cholesky",0.8209090909090909,0.8209090909090909,0.04596081694459832,0.8327272727272728,0.8327272727272728
Mes 3,LogisticRegression,"C=0.5, solver=saga",0.8209090909090909,0.8209090909090909,0.04596081694459832,0.8327272727272728,0.8327272727272728
