Model,Feature_Subset,Feature_Label,Channel_Config,Class_Type,Month,Accuracy,F1_Macro,Kappa,MAE,N,N_Features,Group,Patient_Accuracy_Mean,Patient_Accuracy_Std,N_Patients
SVM,A1_RS,Rescaled Range,All-16,3class,Mixto,0.3522076171216717,0.3390833811760758,0.08059953966889444,17.226154364678127,2967,1,A,0.3583189552022713,0.05080843915971909,5
kNN,A1_RS,Rescaled Range,All-16,3class,Mixto,0.37276710481968317,0.3458252874643672,0.061004096722791945,16.973373778227167,2967,1,A,0.3727337249617728,0.039143407699869084,5
RandomForest,A1_RS,Rescaled Range,All-16,3class,Mixto,0.3741152679474216,0.3376870833234947,0.028487058558416378,17.273340074148972,2967,1,A,0.37287803401483993,0.028278767570388032,5
NaiveBayes,A1_RS,Rescaled Range,All-16,3class,Mixto,0.3083923154701719,0.30296936354476084,0.07554374563454702,17.880013481631277,2967,1,A,0.30932324618938123,0.015262689092045237,5
LogisticRegression,A1_RS,Rescaled Range,All-16,3class,Mixto,0.3232221098752949,0.3154966213381782,0.05405149217366789,18.328277721604316,2967,1,A,0.3205056652207008,0.028676519173818013,5
MLP,A1_RS,Rescaled Range,All-16,3class,Mixto,0.3279406808223795,0.3228373223765022,0.07966768341627872,17.735085945399394,2967,1,A,0.3351213695495341,0.08144314517550681,5
DecisionTree,A1_RS,Rescaled Range,All-16,3class,Mixto,0.367711493090664,0.3412702521491143,0.04305312927285776,17.421638018200202,2967,1,A,0.36927439157159714,0.027077346450700843,5
SVM,A1_RS,Rescaled Range,All-16,2class,Mixto,0.5463342017119464,0.5459317017692629,0.09319703916487099,13.609973948641608,2687,1,A,0.5517957628526438,0.06911415752897015,5
kNN,A1_RS,Rescaled Range,All-16,2class,Mixto,0.5474506885001861,0.5423743816422685,0.09659645461487876,13.576479344994418,2687,1,A,0.5510925638461514,0.04899191549635536,5
RandomForest,A1_RS,Rescaled Range,All-16,2class,Mixto,0.5280982508373651,0.5280872046317073,0.0561874818210778,14.157052474879046,2687,1,A,0.5288421003748495,0.02575263365760562,5
